t,x,y,z,d_min
89.192,9.038964384457815,8.973123903360534,4.955865435736549,7.8559
89.208,9.038727464463648,8.972994749613095,4.956044253570979,7.8558
89.224,9.038334779458399,8.972791966504538,4.956347249719942,7.8556
89.244,9.038019507629993,8.972641542580988,4.956594025411084,7.8555
89.26,9.03762440085352,8.972468236995386,4.95690764218913,7.8553
89.276,9.03738795647817,8.972372355521758,4.957098431121665,7.8552
89.292,9.036997740404948,8.972225660157967,4.9574206994370895,7.8551
89.308,9.03676567372683,8.972145936538636,4.957616645760246,7.8550
89.324,9.036381467382698,8.972028320145741,4.957947676535705,7.8549
89.34,9.036151236840873,8.971966473873957,4.958149011159554,7.8548
89.356,9.035769177726365,8.971877321280783,4.958488960057092,7.8547
89.38,9.035466959759956,8.971819233944071,4.958764776628939,7.8547
89.392,9.035092781756928,8.971763929940877,4.959114078524373,7.8546
89.408,9.034870346945487,8.971740490525532,4.959325951451665,7.8546
89.424,9.034503022285682,8.971716768189305,4.959682581902013,7.8546
89.44,9.034284726733933,8.971711568776742,4.959898466755431,7.8546
89.456,9.033921745886596,8.971718519786455,4.960261110062392,7.8546
89.472,9.033704745052317,8.971732140009056,4.96048012936558,7.8546
89.488,9.03334517772269,8.971770602857896,4.960847062110468,7.8547
89.508,9.033059456990161,8.971815881906727,4.961141992866766,7.8547
89.524,9.032707987520938,8.971891010535543,4.961511897864408,7.8548
89.54,9.032500491870222,8.971946115878355,4.9617342807313864,7.8549
89.556,9.032160172601001,8.972055003501271,4.962105415391662,7.8550
89.568,9.03195848976927,8.972130272827675,4.962328338342645,7.8550
89.588,9.031626301346675,8.972271559870432,4.962700088827637,7.8552
89.6,9.031429641191083,8.972365757983116,4.962923130586065,7.8553
89.62,9.031106300166437,8.972537623709123,4.963294688559055,7.8555
89.644,9.030850270423066,8.972688120361394,4.96359162786676,7.8556
89.656,9.030533200579018,8.972892998074608,4.9639620097106185,7.8558
89.676,9.030344119279885,8.973024402912172,4.964183673697585,7.8559
89.688,9.03003163553439,8.973256551887257,4.964551885040764,7.8562
89.704,9.02984591366833,8.973403832411693,4.964771929730458,7.8563
89.72,9.029539222235762,8.973661272475129,4.965137067997759,7.8566
89.736,9.029357556271574,8.97382230035708,4.965355173064834,7.8567
89.752,9.029058945492068,8.97410177925707,4.965717033123705,7.8570
89.772,9.028823839994555,8.974335555906515,4.966004990127723,7.8572
89.788,9.02853286722257,8.974638792968392,4.966362807093825,7.8575
89.808,9.028360359888179,8.974825485110571,4.966576289783692,7.8577
89.82,9.028077574574077,8.975143867859629,4.966929901133866,7.8580
89.836,9.027910112884475,8.97533933815013,4.96714068197954,7.8582
89.852,9.027633782214176,8.975672293542685,4.967489608373869,7.8585
89.868,9.027470887350457,8.975876412478204,4.9676975444283284,7.8587
89.884,9.027201414208323,8.976223621028483,4.968041941698623,7.8590
89.904,9.026988193501916,8.976507856020628,4.968315538226359,7.8593
89.92,9.026725408314476,8.976869056855076,4.968654927434738,7.8596
89.94,9.026569547437575,8.977088694350508,4.968857154823323,7.8598
89.952,9.026312276937611,8.977458771142105,4.969191927098989,7.8602
89.972,9.02616035379409,8.977683625972173,4.9693914683872915,7.8604
89.984,9.025910816562918,8.978063606873667,4.969721843472815,7.8608
90.0,9.025761721982986,8.978293764150763,4.969918736679906,7.8610
90.016,9.025513035383584,8.97868209144378,4.970244543725374,7.8614
